mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_prior,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.6603716214497884,0.09970691482482213,0.010634422302246094,0.0014401107026116315,1e-10,True,"{'alpha': 1e-10, 'fit_prior': True}",0.19026617146394306,0.18987929433611886,0.17410817921535246,0.18475121500513814,0.007527419947321585,1
0.511089563369751,0.002826231924833354,0.009630362192789713,7.772039365126977e-05,1e-10,False,"{'alpha': 1e-10, 'fit_prior': False}",0.027855153203342618,0.027236149798823894,0.02623229900177977,0.02710786733464876,0.0006687083234832552,12
0.5111602942148844,0.005749035702163989,0.009667793909708658,0.0002197363492175478,0.01,True,"{'alpha': 0.01, 'fit_prior': True}",0.19026617146394306,0.18987929433611886,0.17410817921535246,0.18475121500513814,0.007527419947321585,1
0.5084675153096517,0.004640423420622281,0.00959626833597819,6.655290921603347e-05,0.01,False,"{'alpha': 0.01, 'fit_prior': False}",0.03040854224698236,0.03164654905601981,0.025922773349841367,0.02932595488428118,0.0024589155647791643,11
0.5061821937561035,0.0029341053190269873,0.009665727615356445,0.00012898555303868126,0.1,True,"{'alpha': 0.1, 'fit_prior': True}",0.19026617146394306,0.18987929433611886,0.17410817921535246,0.18475121500513814,0.007527419947321585,1
0.5129460493723551,0.007871063154392968,0.009869257609049479,0.00031119268359385975,0.1,False,"{'alpha': 0.1, 'fit_prior': False}",0.05338904363974002,0.0489786443825441,0.025768010523872165,0.04271189951538543,0.012115676787245849,10
0.5136775970458984,0.01060665272344259,0.00954596201578776,9.066352168344381e-05,0.5,True,"{'alpha': 0.5, 'fit_prior': True}",0.19026617146394306,0.18949241720829466,0.17426294204132167,0.18467384357118646,0.007368393172211486,4
0.5072343349456787,0.0014077563990699533,0.00961454709370931,9.447401170543934e-05,0.5,False,"{'alpha': 0.5, 'fit_prior': False}",0.06917363045496751,0.07590529247910864,0.062292037452603886,0.06912365346222668,0.005557700446468653,9
0.5041941006978353,0.0017380191602956033,0.009492238362630209,8.639712392780632e-05,1.0,True,"{'alpha': 1.0, 'fit_prior': True}",0.18910554008047045,0.18833178582482205,0.17426294204132167,0.18390008931553806,0.006821809613327718,5
0.5062128702799479,0.0028748298942381993,0.009606679280598959,6.4065082902441e-05,1.0,False,"{'alpha': 1.0, 'fit_prior': False}",0.08410708758898174,0.0844165892912411,0.07560164048595527,0.08137510578872605,0.004084411342951701,8
0.5150909423828125,0.013251252542898748,0.00958712895711263,2.84137424874765e-05,2.0,True,"{'alpha': 2.0, 'fit_prior': True}",0.1882544103992572,0.1873259052924791,0.1696974386752302,0.18175925145565552,0.008537408900279268,6
0.54261581103007,0.05599385252776294,0.009639581044514975,4.076066827634889e-05,2.0,False,"{'alpha': 2.0, 'fit_prior': False}",0.08588672237697308,0.09826679046734757,0.08411359591426139,0.089422369586194,0.0062957038211482455,7
