mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
6.161061763763428,0.04454848727451108,0.05674950281778971,0.004898100024905622,0.05,3,50,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.15617516250427643,0.1618705035971223,0.154561902300336,0.15753585613391158,0.0031350203182907554,15
7.027432680130005,0.11826504985140962,0.05249977111816406,0.0013385450240462134,0.05,3,50,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",0.1554564172958133,0.15802129852284438,0.156292984869326,0.15659023356266122,0.00106799547953514,16
12.477168321609497,0.12661770631157457,0.10001460711161296,0.01043667083157148,0.05,3,100,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.1888555221888555,0.19296045481147062,0.19377451389468414,0.1918634969650034,0.0021527667838074746,13
14.560524304707846,0.03258527977335073,0.0954294999440511,0.0014811746801753564,0.05,3,100,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.18657090362451978,0.19175102484731865,0.19064356849945602,0.18965516565709817,0.002227273236464812,14
10.034754117329916,0.05702489944474491,0.08117794990539551,0.0021980229960357482,0.05,5,50,0.8,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.20708674577970917,0.22045284896740483,0.21805198040355392,0.2151971917168893,0.005818106360902614,9
11.732699314753214,0.05860454772440632,0.08397499720255534,0.004307708225314153,0.05,5,50,1.0,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",0.20989405188954702,0.21344663834041488,0.21807318894697536,0.21380462639231243,0.0033486999800943088,10
20.959891319274902,0.28404190106870447,0.16588298479715982,0.0018412085835656372,0.05,5,100,0.8,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.2830575256107171,0.2731256473587762,0.27555980556219617,0.2772476595105631,0.004226676362983709,5
24.794315973917644,0.1978844090211816,0.16146564483642578,0.002073586742378927,0.05,5,100,1.0,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.27763699714919227,0.27738038467652204,0.27645891226677255,0.2771587646974956,0.0005058376280153036,6
6.827026764551799,0.2632811850034879,0.05334146817525228,0.0014762378538224017,0.1,3,50,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.188096621565535,0.19768506953118495,0.19347280334728034,0.19308483148133346,0.003924068910715756,11
8.180053551991781,0.2632407089130194,0.06147599220275879,0.005306584184101894,0.1,3,50,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",0.18417530946804953,0.19350530094331747,0.19886930495510474,0.19218330512215723,0.006071195958885069,12
13.878900289535522,0.1552008267445564,0.10299158096313477,0.009325597876244304,0.1,3,100,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.23539837267380972,0.2432563398481667,0.24147658579833964,0.24004376610677203,0.003364187988180392,7
15.919497410456339,0.055877403896563094,0.108946959177653,0.012905435807088476,0.1,3,100,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.2358163182955371,0.23035032105990408,0.24093661687525234,0.23570108541023116,0.004322605212593207,8
10.933212757110596,0.1059615299167793,0.0845339298248291,0.012658874924203454,0.1,5,50,0.8,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.28126474752241626,0.2822765772183963,0.28162328929673286,0.28172153801251515,0.00041887901278802193,3
13.14281972249349,0.10902838447634866,0.09386928876241048,0.005867451975313469,0.1,5,50,1.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",0.2761738578680203,0.2792130836691159,0.28356316373434776,0.27965003509049463,0.0030324528251366705,4
20.494476000467937,0.21090406040383525,0.13303963343302408,0.010871726747935821,0.1,5,100,0.8,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.32729227461219473,0.3401350223773041,0.3416635017090771,0.33636359956619194,0.0064446755585611986,1
22.04735271135966,0.9871567650286255,0.11229562759399414,0.012453930372121938,0.1,5,100,1.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.328132170720514,0.3393222651808051,0.33762886597938147,0.3350277672935668,0.004924688774435016,2
